
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62145  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62146  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62147  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62148  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62150  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62151  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62152  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62154  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62155  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62156  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62157  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62158  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62159  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62160  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62162  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62163  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62164  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62165  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62166  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62167  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62168  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62171  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62172  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62173  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62174  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62175  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62178  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
